date,code,close
2024-01-02,000300.SH,3361.10
2024-01-03,000300.SH,3357.90
2024-01-04,000300.SH,3269.36
2024-01-05,000300.SH,3234.52
2024-01-08,000300.SH,3228.88
2024-01-09,000300.SH,3245.54
2024-01-10,000300.SH,3215.50
2024-01-11,000300.SH,3223.73
2024-01-12,000300.SH,3148.40
2024-01-15,000300.SH,3100.12
2024-01-16,000300.SH,3122.32
2024-01-17,000300.SH,3048.08
2024-01-18,000300.SH,3050.65
2024-01-19,000300.SH,3170.56
2024-01-22,000300.SH,3180.28
2024-01-23,000300.SH,3153.87
2024-01-24,000300.SH,3246.80
2024-01-25,000300.SH,3318.82
2024-01-26,000300.SH,3310.14
2024-01-29,000300.SH,3357.02
2024-01-30,000300.SH,3330.10
2024-01-31,000300.SH,3312.45
2024-02-01,000300.SH,3320.55
2024-02-02,000300.SH,3365.85
2024-02-05,000300.SH,3319.18
