code,name,period,gross_margin_pct,revenue_100m_cny,basic_eps_cny,operating_cashflow_100m_cny,core_netprofit_100m_cny,quarter_revenue_100m_cny,revenue_yoy_pct,quarter_revenue_yoy_pct
300347.SZ,泰格医药,20260630,27.5253,37.0756,-0.48,4.2578,2.7772,19.0609,14.0632,13.0336
300759.SZ,康龙化成,20260630,32.7097,75.9542,0.4138,10.8464,6.9313,40.17,17.924,20.1925
002821.SZ,凯莱英,20260630,42.2691,36.0684,1.45,8.2229,5.248,18.0499,13.1271,9.5866
603259.SH,药明康德,20260630,53.9095,288.9748,3.8,96.9914,105.7218,164.617,38.935,47.709
300347.SZ,泰格医药,20260331,26.6389,18.0147,0.06,3.177,1.2039,18.0147,15.1732,15.1732
300759.SZ,康龙化成,20260331,32.4958,35.7842,0.186,6.0444,3.4344,35.7842,15.4772,15.4772
002821.SZ,凯莱英,20260331,43.0162,18.0185,0.84,5.2666,2.7193,18.0185,16.9108,16.9108
603259.SH,药明康德,20260331,50.4026,124.3578,1.59,35.9581,42.7562,124.3578,28.8068,28.8068
300347.SZ,泰格医药,20251231,27.4147,68.328,1.04,11.1808,3.5508,18.0693,3.4784,17.6768
300759.SZ,康龙化成,20251231,34.8322,140.9508,0.9443,32.2105,15.3833,40.0946,14.8203,15.9305
002821.SZ,凯莱英,20251231,41.9911,66.7018,3.16,14.0759,10.3651,20.403,14.9108,22.5872
603259.SH,药明康德,20251231,47.6387,454.5617,6.7,172.0316,132.4056,125.9945,15.8372,9.1861
300347.SZ,泰格医药,20250930,29.1615,50.2587,1.19,7.3956,3.2594,17.7542,-0.8238,3.8642
300759.SZ,康龙化成,20250930,34.2248,100.8562,0.6477,24.361,10.3406,36.4467,14.3848,13.4418
002821.SZ,凯莱英,20250930,42.4394,46.2988,2.18,11.4416,7.2802,14.4157,11.825,-0.0947
603259.SH,药明康德,20250930,46.6225,328.5672,4.25,114.1283,95.2241,120.5743,18.6077,15.2599
300347.SZ,泰格医药,20250630,30.0875,32.5044,0.45,4.0862,2.1075,16.863,-3.21,-0.6913
300759.SZ,康龙化成,20250630,33.9684,64.4095,0.3984,14.0828,6.3666,33.4214,14.9254,13.9214
002821.SZ,凯莱英,20250630,43.4898,31.8831,1.68,7.0172,5.6612,16.4709,18.2013,26.9391
603259.SH,药明康德,20250630,44.4494,207.9928,3.01,74.3098,55.8213,111.4469,20.6391,20.3662
300347.SZ,泰格医药,20250331,30.0331,15.6414,0.19,1.9793,1.0233,15.6414,-5.7861,-5.7861
300759.SZ,康龙化成,20250331,33.6552,30.9881,0.1736,8.5283,2.9241,30.9881,16.0282,16.0282
002821.SZ,凯莱英,20250331,42.537,15.4122,0.89,4.4934,3.0511,15.4122,10.1019,10.1019
603259.SH,药明康德,20250331,42.2604,96.546,1.29,31.9543,23.2927,96.546,20.9556,20.9556
300347.SZ,泰格医药,20241231,33.9538,66.0312,0.47,10.97,8.549,15.355,-10.5758,-11.4248
300759.SZ,康龙化成,20241231,34.2392,122.7577,1.0133,25.7666,11.0791,34.585,6.3943,16.1451
002821.SZ,凯莱英,20241231,42.3596,58.0466,2.69,12.5434,8.4954,16.6437,-25.8209,15.4102
603259.SH,药明康德,20241231,41.4789,392.4143,3.28,124.0651,99.881,115.3943,-2.7252,6.8517
300347.SZ,泰格医药,20240930,38.8799,50.6762,0.94,5.7877,8.921,17.0937,-10.3153,-11.8712
300759.SZ,康龙化成,20240930,33.8699,88.1728,0.8028,17.705,7.8316,32.1281,3.0025,10.0226
002821.SZ,凯莱英,20240930,43.6046,41.4029,2.01,10.5286,6.6341,14.4294,-35.1363,-18.087
603259.SH,药明康德,20240930,40.6532,277.02,2.25,83.7909,66.8173,104.6108,-6.2263,-1.9583
300347.SZ,泰格医药,20240630,39.6948,33.5824,0.57,1.7733,6.4033,16.9804,-9.502,-10.9239
300759.SZ,康龙化成,20240630,33.3873,56.0446,0.6282,10.9974,4.6588,29.3372,-0.6322,0.6027
002821.SZ,凯莱英,20240630,42.1527,26.9735,1.4,8.7356,4.4828,12.9754,-41.6348,-45.3085
603259.SH,药明康德,20240630,39.3655,172.4092,1.46,49.6629,44.1393,92.5898,-8.6394,-6.5461
