证券代码,证券简称,日期,收盘价,换手率,成交额,成交量
300347.SZ,泰格医药,20260904,50.0,1.434326554264,4.0756196685E8,8125100.0
688293.SH,奥浦迈,20260904,54.62,2.4528108900952,1.59105876E8,2873853.0
300347.SZ,泰格医药,20260903,50.61,1.4402058967816,4.1064128964E8,8158405.0
688293.SH,奥浦迈,20260903,55.93,2.896520959573,1.90937354E8,3393729.0
300347.SZ,泰格医药,20260902,50.19,1.7590025426475,5.0410814432E8,9964308.0
688293.SH,奥浦迈,20260902,55.88,4.9865132028659,3.29622234E8,5842483.0
300347.SZ,泰格医药,20260901,51.4,2.1917913518309,6.4176628534E8,1.2415948E7
688293.SH,奥浦迈,20260901,53.56,2.9932275912358,1.85268049E8,3507036.0
300347.SZ,泰格医药,20260831,52.79,5.5123218467863,1.6392833608E9,3.122592E7
688293.SH,奥浦迈,20260831,53.1,4.823894788729,2.96527245E8,5651950.0
300347.SZ,泰格医药,20260830,49.85,,,
688293.SH,奥浦迈,20260830,55.1,,,
300347.SZ,泰格医药,20260829,49.85,,,
688293.SH,奥浦迈,20260829,55.1,,,
300347.SZ,泰格医药,20260828,49.85,1.9526686677274,5.565432183E8,1.1061378E7
688293.SH,奥浦迈,20260828,55.1,2.4007965198142,1.57420325E8,2812910.0
300347.SZ,泰格医药,20260827,50.78,2.1838666962325,6.220733874E8,1.2365517E7
688293.SH,奥浦迈,20260827,56.98,2.6009848035899,1.72185469E8,3047462.0
300347.SZ,泰格医药,20260826,50.85,2.3555278664963,6.8559715026E8,1.3337499E7
688293.SH,奥浦迈,20260826,57.42,2.5521974870154,1.73724068E8,2990300.0
300347.SZ,泰格医药,20260825,52.27,3.8961101416549,1.12392331099E9,2.2060603E7
688293.SH,奥浦迈,20260825,59.33,3.5753186056212,2.45702026E8,4189047.0
300347.SZ,泰格医药,20260824,49.16,5.6471605031783,1.60918361296E9,3.1975422E7
688293.SH,奥浦迈,20260824,58.18,4.3651777673018,2.99635372E8,5114491.0
300347.SZ,泰格医药,20260823,54.37,,,
688293.SH,奥浦迈,20260823,61.75,,,
300347.SZ,泰格医药,20260822,54.37,,,
688293.SH,奥浦迈,20260822,61.75,,,
300347.SZ,泰格医药,20260821,54.37,3.9632791165749,1.213739281E9,2.2440928E7
688293.SH,奥浦迈,20260821,61.75,3.8818067724907,2.8088385E8,4548146.0
300347.SZ,泰格医药,20260820,55.52,8.7201833595658,2.76971716379E9,4.937553E7
688293.SH,奥浦迈,20260820,63.9,5.5851269712062,4.18431487E8,6543853.0
300347.SZ,泰格医药,20260819,51.78,2.9664947077329,8.7992435511E8,1.6796923E7
688293.SH,奥浦迈,20260819,60.38,4.538819032171,3.28552186E8,5317939.0
300347.SZ,泰格医药,20260818,53.95,3.8099083235373,1.15834827876E9,2.157251E7
688293.SH,奥浦迈,20260818,64.55,2.8908367020525,2.19390312E8,3387069.0
300347.SZ,泰格医药,20260817,55.18,3.7504419915469,1.16314143233E9,2.1235799E7
688293.SH,奥浦迈,20260817,66.5,4.098430754025,3.16747597E8,4801955.0
300347.SZ,泰格医药,20260816,56.02,,,
688293.SH,奥浦迈,20260816,66.37,,,
300347.SZ,泰格医药,20260815,56.02,,,
688293.SH,奥浦迈,20260815,66.37,,,
300347.SZ,泰格医药,20260814,56.02,4.61436190288,1.46476022765E9,2.6127497E7
688293.SH,奥浦迈,20260814,66.37,4.631074702427,3.60333864E8,5426031.0
