证券代码,证券简称,日期,收盘价,涨跌幅
000933.SH,800医卫,20260904,7873.5287,-0.18946755081223
000300.SH,沪深300,20260904,4548.0499,-0.099471104111032
000933.SH,800医卫,20260903,7888.4748,0.61588957580978
000300.SH,沪深300,20260903,4552.5784,0.10163906822404
000933.SH,800医卫,20260902,7840.1879,-0.71170524838392
000300.SH,沪深300,20260902,4547.9559,-1.3766525913796
000933.SH,800医卫,20260901,7896.3869,0.34355691229031
000300.SH,沪深300,20260901,4611.4394,-0.29506044665718
000933.SH,800医卫,20260831,7869.3512,-1.2544900913573
000300.SH,沪深300,20260831,4625.0862,0.34517663502745
000933.SH,800医卫,20260830,7969.3256,
000300.SH,沪深300,20260830,4609.1764,
000933.SH,800医卫,20260829,7969.3256,
000300.SH,沪深300,20260829,4609.1764,
000933.SH,800医卫,20260828,7969.3256,-1.0827489988001
000300.SH,沪深300,20260828,4609.1764,-0.45570923726593
000933.SH,800医卫,20260827,8056.5579,0.64551456652995
000300.SH,沪深300,20260827,4630.277,0.8600582883983
000933.SH,800医卫,20260826,8004.8852,0.12690094054092
000300.SH,沪深300,20260826,4590.7935,0.85150752215615
000933.SH,800医卫,20260825,7994.7398,1.6677939505834
000300.SH,沪深300,20260825,4552.0326,-0.24312277463439
000933.SH,800医卫,20260824,7863.5913,-3.0344494803633
000300.SH,沪深300,20260824,4563.1266,-1.2074012850519
000933.SH,800医卫,20260823,8109.6753,
000300.SH,沪深300,20260823,4618.8952,
000933.SH,800医卫,20260822,8109.6753,
000300.SH,沪深300,20260822,4618.8952,
000933.SH,800医卫,20260821,8109.6753,-3.3959609079857
000300.SH,沪深300,20260821,4618.8952,0.56926237489414
000933.SH,800医卫,20260820,8394.758,2.7745119012643
000300.SH,沪深300,20260820,4592.7504,0.088367162301358
000933.SH,800医卫,20260819,8168.1322,-1.4351737997501
000300.SH,沪深300,20260819,4588.6955,-2.9014666554545
000933.SH,800医卫,20260818,8287.066,-0.4359362254419
