证券代码,证券简称,日期,成交量,成交额,收盘价,换手率
300347.SZ,泰格医药,20260904,8125100.0,4.0756196685E8,50.0,1.434326554264
688293.SH,奥浦迈,20260904,2873853.0,1.59105876E8,54.62,2.4528108900952
300759.SZ,康龙化成,20260904,5.0254681E7,2.10473613694E9,41.19,3.5389824051804
002821.SZ,凯莱英,20260904,6567572.0,1.08523718253E9,163.02,2.0715026751914
603259.SH,药明康德,20260904,2.5721662E7,3.984101374E9,153.83,1.0399817020978
300347.SZ,泰格医药,20260903,8158405.0,4.1064128964E8,50.61,1.4402058967816
688293.SH,奥浦迈,20260903,3393729.0,1.90937354E8,55.93,2.896520959573
300759.SZ,康龙化成,20260903,4.4205953E7,1.87864662479E9,43.0,3.1130252298534
002821.SZ,凯莱英,20260903,9294750.0,1.54688861593E9,168.22,2.931692182474
603259.SH,药明康德,20260903,3.0103852E7,4.691160558E9,156.12,1.2171629983576
300347.SZ,泰格医药,20260902,9964308.0,5.0410814432E8,50.19,1.7590025426475
688293.SH,奥浦迈,20260902,5842483.0,3.29622234E8,55.88,4.9865132028659
300759.SZ,康龙化成,20260902,3.8021383E7,1.60923819619E9,42.05,2.6775019317629
002821.SZ,凯莱英,20260902,1.1373852E7,1.8592407705E9,164.6,3.5874695922985
603259.SH,药明康德,20260902,4.2107011E7,6.532139629E9,155.48208389197,1.7024763395939
300347.SZ,泰格医药,20260901,1.2415948E7,6.4176628534E8,51.4,2.1917913518309
688293.SH,奥浦迈,20260901,3507036.0,1.85268049E8,53.56,2.9932275912358
300759.SZ,康龙化成,20260901,3.6491707E7,1.55056022111E9,42.6,2.5697806938223
002821.SZ,凯莱英,20260901,9687854.0,1.53892101962E9,160.88,3.0556825989671
603259.SH,药明康德,20260901,2.9339983E7,4.505071454E9,153.8972610611,1.1862781440741
300347.SZ,泰格医药,20260831,3.122592E7,1.6392833608E9,52.79,5.5123218467863
688293.SH,奥浦迈,20260831,5651950.0,2.96527245E8,53.1,4.823894788729
300759.SZ,康龙化成,20260831,4.2761026E7,1.8379480982E9,43.3,3.0112720970503
002821.SZ,凯莱英,20260831,1.0336106E7,1.66023932104E9,161.6,3.2601502092496
603259.SH,药明康德,20260831,4.7625356E7,7.283350255E9,154.27602375024,1.9255948078275
300347.SZ,泰格医药,20260830,,,49.85,
688293.SH,奥浦迈,20260830,,,55.1,
300759.SZ,康龙化成,20260830,,,43.78,
002821.SZ,凯莱英,20260830,,,164.94,
603259.SH,药明康德,20260830,,,156.88749281747,
300347.SZ,泰格医药,20260829,,,49.85,
688293.SH,奥浦迈,20260829,,,55.1,
300759.SZ,康龙化成,20260829,,,43.78,
002821.SZ,凯莱英,20260829,,,164.94,
603259.SH,药明康德,20260829,,,156.88749281747,
300347.SZ,泰格医药,20260828,1.1061378E7,5.565432183E8,49.85,1.9526686677274
688293.SH,奥浦迈,20260828,2812910.0,1.57420325E8,55.1,2.4007965198142
300759.SZ,康龙化成,20260828,4.3983017E7,1.93368643086E9,43.78,3.0973258648235
002821.SZ,凯莱英,20260828,8223630.0,1.36972524281E9,164.94,2.593846180108
603259.SH,药明康德,20260828,2.9193729E7,4.626900106E9,156.88749281747,1.1803647826491
300347.SZ,泰格医药,20260827,1.2365517E7,6.220733874E8,50.78,2.1838666962325
688293.SH,奥浦迈,20260827,3047462.0,1.72185469E8,56.98,2.6009848035899
300759.SZ,康龙化成,20260827,6.319993E7,2.78099506708E9,45.1,4.450599144757
002821.SZ,凯莱英,20260827,1.0661091E7,1.79969729116E9,170.64,3.3626549548233
603259.SH,药明康德,20260827,3.4944567E7,5.533307226E9,159.41922237119,1.4128834391701
300347.SZ,泰格医药,20260826,1.3337499E7,6.8559715026E8,50.85,2.3555278664963
688293.SH,奥浦迈,20260826,2990300.0,1.73724068E8,57.42,2.5521974870154
300759.SZ,康龙化成,20260826,5.772552E7,2.5743267253E9,44.18,4.065085988903
002821.SZ,凯莱英,20260826,1.5184636E7,2.66148708475E9,171.9,4.7894433583381
603259.SH,药明康德,20260826,3.4418484E7,5.489620558E9,158.73146906723,1.3916127804629
300347.SZ,泰格医药,20260825,2.2060603E7,1.12392331099E9,52.27,3.8961101416549
688293.SH,奥浦迈,20260825,4189047.0,2.45702026E8,59.33,3.5753186056212
300759.SZ,康龙化成,20260825,7.5261677E7,3.40985986089E9,46.42,5.2999988336882
002821.SZ,凯莱英,20260825,1.7021741E7,2.80727240754E9,172.23,5.3688915809244
603259.SH,药明康德,20260825,5.9050998E7,9.356630203E9,160.47577092511,2.3875579039416
300347.SZ,泰格医药,20260824,3.1975422E7,1.60918361296E9,49.16,5.6471605031783
688293.SH,奥浦迈,20260824,5114491.0,2.99635372E8,58.18,4.3651777673018
300759.SZ,康龙化成,20260824,7.3392529E7,3.35744918294E9,44.86,5.1683716548255
002821.SZ,凯莱英,20260824,1.4544235E7,2.33010827238E9,156.57,4.5874520616009
603259.SH,药明康德,20260824,6.8557475E7,1.0767737827E10,155.33257230416,2.7719250623085
300347.SZ,泰格医药,20260823,,,54.37,
688293.SH,奥浦迈,20260823,,,61.75,
300759.SZ,康龙化成,20260823,,,47.98,
002821.SZ,凯莱英,20260823,,,168.1,
603259.SH,药明康德,20260823,,,162.32971461406,
300347.SZ,泰格医药,20260822,,,54.37,
688293.SH,奥浦迈,20260822,,,61.75,
300759.SZ,康龙化成,20260822,,,47.98,
002821.SZ,凯莱英,20260822,,,168.1,
603259.SH,药明康德,20260822,,,162.32971461406,
300347.SZ,泰格医药,20260821,2.2440928E7,1.213739281E9,54.37,3.9632791165749
688293.SH,奥浦迈,20260821,4548146.0,2.8088385E8,61.75,3.8818067724907
300759.SZ,康龙化成,20260821,9.2851253E7,4.49298364759E9,47.98,6.5386734952304
002821.SZ,凯莱英,20260821,2.0533769E7,3.50733454586E9,168.1,6.4766335892872
603259.SH,药明康德,20260821,5.7244517E7,9.385096691E9,162.32971461406,2.3145180208584
300347.SZ,泰格医药,20260820,4.937553E7,2.76971716379E9,55.52,8.7201833595658
688293.SH,奥浦迈,20260820,6543853.0,4.18431487E8,63.9,5.5851269712062
300759.SZ,康龙化成,20260820,1.03423367E8,5.31370617533E9,50.9,7.2831718123436
002821.SZ,凯莱英,20260820,2.496715E7,4.57134647393E9,182.4,7.8749830252192
603259.SH,药明康德,20260820,8.5911366E7,1.4589305368E10,167.35330396476,3.4735799203889
300347.SZ,泰格医药,20260819,1.6796923E7,8.7992435511E8,51.78,2.9664947077329
688293.SH,奥浦迈,20260819,5317939.0,3.28552186E8,60.38,4.538819032171
300759.SZ,康龙化成,20260819,8.6407775E7,4.28183979051E9,48.45,6.0849176496771
002821.SZ,凯莱英,20260819,1.1994036E7,2.09050038219E9,170.59,3.7830841687525
603259.SH,药明康德,20260819,5.5791603E7,9.187283094E9,163.46600268148,2.2557736063364
300347.SZ,泰格医药,20260818,2.157251E7,1.15834827876E9,53.95,3.8099083235373
688293.SH,奥浦迈,20260818,3387069.0,2.19390312E8,64.55,2.8908367020525
300759.SZ,康龙化成,20260818,6.7151421E7,3.40651980664E9,51.15,4.7288668970332
002821.SZ,凯莱英,20260818,1.0432929E7,1.84627178872E9,177.25,3.2906895171582
603259.SH,药明康德,20260818,5.0378126E7,8.366780276E9,166.63564834323,2.0368951752021
300347.SZ,泰格医药,20260817,2.1235799E7,1.16314143233E9,55.18,3.7504419915469
688293.SH,奥浦迈,20260817,4801955.0,3.16747597E8,66.5,4.098430754025
300759.SZ,康龙化成,20260817,7.2936208E7,3.60547530628E9,50.11,5.1362370962534
002821.SZ,凯莱英,20260817,1.2059671E7,2.1115545466E9,177.12,3.8037863518555
603259.SH,药明康德,20260817,6.8943301E7,1.1365474114E10,166.34659260678,2.7875248311024
300347.SZ,泰格医药,20260816,,,56.02,
688293.SH,奥浦迈,20260816,,,66.37,
300759.SZ,康龙化成,20260816,,,49.12,
002821.SZ,凯莱英,20260816,,,171.2,
603259.SH,药明康德,20260816,,,158.72150162804,
300347.SZ,泰格医药,20260815,,,56.02,
688293.SH,奥浦迈,20260815,,,66.37,
300759.SZ,康龙化成,20260815,,,49.12,
002821.SZ,凯莱英,20260815,,,171.2,
603259.SH,药明康德,20260815,,,158.72150162804,
300347.SZ,泰格医药,20260814,2.6127497E7,1.46476022765E9,56.02,4.61436190288
688293.SH,奥浦迈,20260814,5426031.0,3.60333864E8,66.37,4.631074702427
300759.SZ,康龙化成,20260814,7.8093229E7,3.82674590421E9,49.12,5.4993994170359
002821.SZ,凯莱英,20260814,1.1747748E7,2.00799099653E9,171.2,3.705401541007
603259.SH,药明康德,20260814,5.4590148E7,8.723220338E9,158.72150162804,2.2071962159682
300347.SZ,泰格医药,20260813,2.9173221E7,1.61828910691E9,55.32,5.1522654300447
688293.SH,奥浦迈,20260813,8978928.0,5.95481875E8,67.53,7.663444295787
300759.SZ,康龙化成,20260813,1.03197891E8,5.15805865057E9,49.8,7.2672935780993
002821.SZ,凯莱英,20260813,1.7410824E7,3.07483289482E9,173.81,5.4916137186294
603259.SH,药明康德,20260813,7.4225264E7,1.2028294271E10,161.8014403371,3.0010858704768
300347.SZ,泰格医药,20260812,1.7946581E7,9.8094740087E8,53.7,3.1695351320239
688293.SH,奥浦迈,20260812,5738921.0,3.61392912E8,61.84,4.8981238519144
300759.SZ,康龙化成,20260812,7.4330096E7,3.57657906752E9,47.9,5.2343960141618
002821.SZ,凯莱英,20260812,1.1108829E7,1.95535911361E9,175.0,3.5038776874839
603259.SH,药明康德,20260812,6.7027216E7,1.0694051631E10,158.52215284428,2.71005342433
300347.SZ,泰格医药,20260811,2.4955577E7,1.37390248136E9,54.69,4.4073897998414
688293.SH,奥浦迈,20260811,7859236.0,5.11903939E8,63.71,6.707795996743
300759.SZ,康龙化成,20260811,1.17850698E8,5.67086769228E9,47.59,8.2991581751406
002821.SZ,凯莱英,20260811,1.8399012E7,3.27711632584E9,175.64,5.8033018258313
603259.SH,药明康德,20260811,9.2075805E7,1.4939163904E10,159.68834322927,3.7228213482444
300347.SZ,泰格医药,20260810,3.493728E7,1.9437718363E9,54.97,6.1702525053299
688293.SH,奥浦迈,20260810,1.1376745E7,7.63577478E8,66.85,9.7099622109536
300759.SZ,康龙化成,20260810,1.34118653E8,6.34584768709E9,47.03,9.4447630296071
002821.SZ,凯莱英,20260810,2.3282185E7,4.17032799016E9,176.0,7.3435218543171
603259.SH,药明康德,20260810,1.26536204E8,2.0424750304E10,160.8146638575,5.1161288416323
300347.SZ,泰格医药,20260809,,,54.35,
688293.SH,奥浦迈,20260809,,,63.22,
300759.SZ,康龙化成,20260809,,,45.28,
002821.SZ,凯莱英,20260809,,,172.26,
603259.SH,药明康德,20260809,,,154.31589350699,
300347.SZ,泰格医药,20260808,,,54.35,
688293.SH,奥浦迈,20260808,,,63.22,
300759.SZ,康龙化成,20260808,,,45.28,
002821.SZ,凯莱英,20260808,,,172.26,
603259.SH,药明康德,20260808,,,154.31589350699,
300347.SZ,泰格医药,20260807,3.3011911E7,1.72932607398E9,54.35,5.8302142168331
688293.SH,奥浦迈,20260807,7795178.0,4.60077271E8,63.22,6.6531229985076
300759.SZ,康龙化成,20260807,1.05485746E8,4.57653440191E9,45.28,7.4284065019004
002821.SZ,凯莱英,20260807,1.0845091E7,1.80206669426E9,172.26,3.4206910893697
603259.SH,药明康德,20260807,9.2722736E7,1.3955602029E10,154.31589350699,3.7489781495631
300347.SZ,泰格医药,20260806,1.4201227E7,7.0929879378E8,49.63,2.5080703613879
688293.SH,奥浦迈,20260806,3025549.0,1.64711166E8,53.76,2.5822822307601
300759.SZ,康龙化成,20260806,5.5986999E7,2.22751393544E9,39.6,3.9426576875467
002821.SZ,凯莱英,20260806,1.3513117E7,2.14163723897E9,156.6,4.2622232410508
603259.SH,药明康德,20260806,7.7509417E7,1.1197821427E10,142.23535721126,3.1338711868724
300347.SZ,泰格医药,20260805,1.9235442E7,9.8211882275E8,50.77,3.3971601164037
688293.SH,奥浦迈,20260805,3952256.0,2.17988528E8,54.6,3.3732193529884
300759.SZ,康龙化成,20260805,6.8693664E7,2.77336357402E9,39.96,4.8374731150592
002821.SZ,凯莱英,20260805,1.4138668E7,2.34429406823E9,163.38,4.4595306432336
603259.SH,药明康德,20260805,1.34475495E8,1.9740160899E10,147.01972802145,5.4371313245834
300347.SZ,泰格医药,20260804,2.5813424E7,1.32696100499E9,51.35,4.5588936547763
688293.SH,奥浦迈,20260804,5275731.0,2.80067375E8,54.83,4.6340717524046
