证券代码,证券简称,日期,收盘价,成交量,成交金额
000300.SH,沪深300,20260904,4548.0499,1.96997428E10,5.17509323617E11
399933.SZ,800医卫,20260904,7873.5287,8.966672E8,3.13440347001E10
000300.SH,沪深300,20260903,4552.5784,1.8224406E10,4.39940676545E11
399933.SZ,800医卫,20260903,7888.4748,8.015413E8,2.92182999839E10
000300.SH,沪深300,20260902,4547.9559,1.86991888E10,4.74680402432E11
399933.SZ,800医卫,20260902,7840.1879,9.36686E8,3.38633486343E10
000300.SH,沪深300,20260901,4611.4394,2.14869581E10,5.35708359907E11
399933.SZ,800医卫,20260901,7896.3869,1.052185E9,3.43195376028E10
000300.SH,沪深300,20260831,4625.0862,2.3744764E10,5.83433867751E11
399933.SZ,800医卫,20260831,7869.3512,1.1990347E9,4.28560673829E10
000300.SH,沪深300,20260830,4609.1764,,
399933.SZ,800医卫,20260830,7969.3256,,
000300.SH,沪深300,20260829,4609.1764,,
399933.SZ,800医卫,20260829,7969.3256,,
000300.SH,沪深300,20260828,4609.1764,1.80989495E10,5.4981348013E11
399933.SZ,800医卫,20260828,7969.3256,1.1317727E9,3.53275071974E10
000300.SH,沪深300,20260827,4630.277,2.0201725E10,5.87120379413E11
399933.SZ,800医卫,20260827,8056.5579,1.3800923E9,4.54261274471E10
000300.SH,沪深300,20260826,4590.7935,1.84578169E10,4.8905727841E11
399933.SZ,800医卫,20260826,8004.8852,1.3444535E9,4.47331751146E10
000300.SH,沪深300,20260825,4552.0326,1.71510168E10,4.80421573872E11
399933.SZ,800医卫,20260825,7994.7398,1.3062961E9,4.95222867698E10
000300.SH,沪深300,20260824,4563.1266,2.06616872E10,5.90425593776E11
399933.SZ,800医卫,20260824,7863.5913,1.6533798E9,5.96974686272E10
000300.SH,沪深300,20260823,4618.8952,,
399933.SZ,800医卫,20260823,8109.6753,,
000300.SH,沪深300,20260822,4618.8952,,
399933.SZ,800医卫,20260822,8109.6753,,
000300.SH,沪深300,20260821,4618.8952,1.71075891E10,5.05501102128E11
399933.SZ,800医卫,20260821,8109.6753,2.2374154E9,7.43747150735E10
000300.SH,沪深300,20260820,4592.7504,2.00874189E10,5.54021067145E11
399933.SZ,800医卫,20260820,8394.758,2.1585951E9,8.99011775229E10
000300.SH,沪深300,20260819,4588.6955,2.4407009E10,7.05253505411E11
399933.SZ,800医卫,20260819,8168.1322,1.2040216E9,4.97335602109E10
000300.SH,沪深300,20260818,4725.8134,2.04245514E10,6.19828730177E11
399933.SZ,800医卫,20260818,8287.066,1.2207241E9,4.81284446833E10
000300.SH,沪深300,20260817,4741.0981,1.90569286E10,6.57601745988E11
399933.SZ,800医卫,20260817,8323.3505,1.2683277E9,5.25036227839E10
000300.SH,沪深300,20260816,4665.8812,,
399933.SZ,800医卫,20260816,8263.0732,,
000300.SH,沪深300,20260815,4665.8812,,
399933.SZ,800医卫,20260815,8263.0732,,
000300.SH,沪深300,20260814,4665.8812,1.78430696E10,5.49769606284E11
399933.SZ,800医卫,20260814,8263.0732,1.4007274E9,5.4805676243E10
000300.SH,沪深300,20260813,4663.9513,2.15499615E10,6.90715960897E11
399933.SZ,800医卫,20260813,8373.1471,1.8659138E9,7.22010835515E10
000300.SH,沪深300,20260812,4690.9165,1.84939148E10,5.75326282008E11
