quarter,期末日期,期初日期,电子_return_pct,计算机_return_pct,通信_return_pct,电力设备_return_pct,汽车_return_pct,食品饮料_return_pct
2022Q1,2022-03-31,2021-12-31,-25.46,-16.97,-11.07,-17.78,-21.4,-20.36
2022Q2,2022-06-30,2022-03-31,1.34,-8.03,-0.95,15.1,23.09,20.19
2022Q3,2022-09-30,2022-06-30,-17.58,-14.52,-6.41,-18.01,-17.1,-11.83
2022Q4,2022-12-30,2022-09-30,1.94,14.18,2.37,-3.89,-0.43,0.57
2023Q1,2023-03-31,2022-12-30,15.5,36.79,29.51,-0.36,3.93,4.41
2023Q2,2023-06-30,2023-03-31,-3.9,-6.74,16.33,-3.15,1.88,-12.91
2023Q3,2023-09-28,2023-06-30,-7.02,-11.71,-10.65,-15.68,-1.45,0.55
2023Q4,2023-12-29,2023-09-28,3.92,-3.26,-6.58,-9.29,-1.02,-6.96
2024Q1,2024-03-29,2023-12-29,-10.45,-10.51,5.68,-4.34,0.58,-0.88
2024Q2,2024-06-28,2024-03-29,1.55,-16.06,-1.94,-11.73,-3.84,-14.36
2024Q3,2024-09-30,2024-06-28,14.1,25.17,14.22,22.96,15.78,18.26
2024Q4,2024-12-31,2024-09-30,14.24,11.05,8.83,-0.72,3.89,-8.39
2025Q1,2025-03-31,2024-12-31,3.3,7.62,-1.17,-0.7,11.4,-1.17
2025Q2,2025-06-30,2025-03-31,0.69,1.17,10.69,0.03,-2.24,-6.22
2025Q3,2025-09-30,2025-06-30,47.59,17.59,48.65,44.67,17.92,2.44
2025Q4,2025-12-31,2025-09-30,-3.67,-7.65,13.61,-1.3,-3.25,-4.88
2026Q1,2026-03-31,2025-12-31,-2.43,-7.61,5.95,6.78,-6.36,-2.66
