fund_code,manager_name,report_date,rank,stock_name,stock_code,mkt_value_mn_rmb
000411.OF,张仲维,2024-12-31,1,新易盛,300502,47.86
000411.OF,张仲维,2024-12-31,2,兆易创新,603986,43.38
000411.OF,张仲维,2024-12-31,3,沪电股份,002463,43.04
000411.OF,张仲维,2024-12-31,4,寒武纪,688256,42.93
000411.OF,张仲维,2024-12-31,5,太辰光,300570,38.82
000411.OF,张仲维,2024-12-31,6,天孚通信,300394,37.99
000411.OF,张仲维,2024-12-31,7,宁德时代,300750,37.13
000411.OF,张仲维,2024-12-31,8,拓普集团,601689,33.45
000411.OF,张仲维,2024-12-31,9,中际旭创,300308,26.51
000411.OF,张仲维,2024-12-31,10,德赛西威,002920,23.30
720001.OF,金梓才,2024-12-31,1,万辰集团,300972,239.58
720001.OF,金梓才,2024-12-31,2,沪电股份,002463,236.22
720001.OF,金梓才,2024-12-31,3,寒武纪,688256,231.14
720001.OF,金梓才,2024-12-31,4,生益电子,688183,224.56
720001.OF,金梓才,2024-12-31,5,新易盛,300502,220.59
720001.OF,金梓才,2024-12-31,6,金盘科技,688676,208.63
720001.OF,金梓才,2024-12-31,7,中际旭创,300308,197.78
720001.OF,金梓才,2024-12-31,8,德科立,688205,188.01
720001.OF,金梓才,2024-12-31,9,三只松鼠,300783,136.04
720001.OF,金梓才,2024-12-31,10,海光信息,688041,2.18
011891.OF,武阳,2024-12-31,1,英维克,002837,59.25
011891.OF,武阳,2024-12-31,2,沪电股份,002463,58.27
011891.OF,武阳,2024-12-31,3,德赛西威,002920,55.55
011891.OF,武阳,2024-12-31,4,新易盛,300502,54.65
011891.OF,武阳,2024-12-31,5,中际旭创,300308,54.61
011891.OF,武阳,2024-12-31,6,德科立,688205,52.69
011891.OF,武阳,2024-12-31,7,伯特利,603596,48.94
011891.OF,武阳,2024-12-31,8,深南电路,002916,45.89
011891.OF,武阳,2024-12-31,9,生益电子,688183,45.40
011891.OF,武阳,2024-12-31,10,拓普集团,601689,43.37
519181.OF,莫海波,2024-12-31,1,海光信息,688041,97.19
519181.OF,莫海波,2024-12-31,2,新易盛,300502,82.77
519181.OF,莫海波,2024-12-31,3,天孚通信,300394,74.72
519181.OF,莫海波,2024-12-31,4,科大讯飞,002230,71.87
519181.OF,莫海波,2024-12-31,5,中际旭创,300308,71.65
519181.OF,莫海波,2024-12-31,6,钧达股份,002865,62.41
519181.OF,莫海波,2024-12-31,7,金山办公,688111,60.03
519181.OF,莫海波,2024-12-31,8,恒玄科技,688608,58.35
519181.OF,莫海波,2024-12-31,9,工业富联,601138,45.42
519181.OF,莫海波,2024-12-31,10,通威股份,600438,39.40
001513.OF,郑希,2024-12-31,1,深南电路,002916,320.97
001513.OF,郑希,2024-12-31,2,沪电股份,002463,233.67
001513.OF,郑希,2024-12-31,3,新易盛,300502,180.43
001513.OF,郑希,2024-12-31,4,寒武纪,688256,155.55
001513.OF,郑希,2024-12-31,5,中国移动,600941,151.50
001513.OF,郑希,2024-12-31,6,中际旭创,300308,131.56
001513.OF,郑希,2024-12-31,7,德科立,688205,131.42
001513.OF,郑希,2024-12-31,8,奥海科技,002993,129.72
001513.OF,郑希,2024-12-31,9,生益电子,688183,122.40
001513.OF,郑希,2024-12-31,10,宁德时代,300750,111.76
009914.OF,曹晋,2024-12-31,1,腾讯控股,00700,56.77
009914.OF,曹晋,2024-12-31,2,阿里巴巴-W,09988,49.56
009914.OF,曹晋,2024-12-31,3,华利集团,300979,46.55
009914.OF,曹晋,2024-12-31,4,立讯精密,002475,30.81
009914.OF,曹晋,2024-12-31,5,歌尔股份,002241,28.01
009914.OF,曹晋,2024-12-31,6,儒意电影,002739,27.30
009914.OF,曹晋,2024-12-31,7,宁德时代,300750,19.68
009914.OF,曹晋,2024-12-31,8,信维通信,300136,19.07
009914.OF,曹晋,2024-12-31,9,稳健医疗,300888,17.02
009914.OF,曹晋,2024-12-31,10,若羽臣,003010,17.01
001323.OF,刘元海,2024-12-31,1,豪威集团,603501,455.23
001323.OF,刘元海,2024-12-31,2,沪电股份,002463,453.99
001323.OF,刘元海,2024-12-31,3,水晶光电,002273,445.51
001323.OF,刘元海,2024-12-31,4,立讯精密,002475,438.17
001323.OF,刘元海,2024-12-31,5,中际旭创,300308,426.10
001323.OF,刘元海,2024-12-31,6,新易盛,300502,398.75
001323.OF,刘元海,2024-12-31,7,天孚通信,300394,330.72
001323.OF,刘元海,2024-12-31,8,拓普集团,601689,276.85
001323.OF,刘元海,2024-12-31,9,歌尔股份,002241,258.10
001323.OF,刘元海,2024-12-31,10,晶方科技,603005,243.42
001170.OF,孙硕,2024-12-31,1,新易盛,300502,54.26
001170.OF,孙硕,2024-12-31,2,寒武纪,688256,47.29
001170.OF,孙硕,2024-12-31,3,科泰电源,300153,35.32
001170.OF,孙硕,2024-12-31,4,德科立,688205,33.29
001170.OF,孙硕,2024-12-31,5,长芯博创,300548,32.48
001170.OF,孙硕,2024-12-31,6,麦格米特,002851,31.36
001170.OF,孙硕,2024-12-31,7,移远通信,603236,28.83
001170.OF,孙硕,2024-12-31,8,太辰光,300570,28.72
001170.OF,孙硕,2024-12-31,9,中兴通讯,000063,28.46
001170.OF,孙硕,2024-12-31,10,光环新网,300383,27.89
000411.OF,张仲维,2025-12-31,1,中际旭创,300308,104.07
000411.OF,张仲维,2025-12-31,2,新易盛,300502,85.71
000411.OF,张仲维,2025-12-31,3,天孚通信,300394,66.95
