quarter,holdings_date,fund_return_pct,virtual_port_return_pct,benchmark_return_pct,allocation_contrib_pct,selection_contrib_pct,elec_weight,comp_weight,comm_weight,elec_return,comp_return,comm_return
2023Q1,2022-12-31,33.81,34.31,14.96,19.34,-0.5,9.0,83.3,7.7,15.5,36.79,29.51
2023Q2,2023-03-31,-4.21,-6.51,-1.42,-5.09,2.29,8.2,91.8,0.0,-3.9,-6.74,16.33
2023Q3,2023-06-30,-19.08,-10.65,-7.66,-2.99,-8.43,20.6,70.1,9.4,-7.02,-11.71,-10.65
2023Q4,2023-09-30,-9.58,0.73,-3.86,4.59,-10.3,55.5,44.5,0.0,3.92,-3.26,-6.58
2024Q1,2023-12-31,2.04,-9.52,-3.32,-6.2,11.56,45.4,45.4,0.0,-10.45,-10.51,5.68
2024Q2,2024-03-31,7.19,-1.35,-7.73,6.38,8.53,72.0,15.3,0.0,1.55,-16.06,-1.94
2024Q3,2024-06-30,12.29,14.12,18.41,-4.29,-1.83,82.4,0.0,17.6,14.1,25.17,14.22
2024Q4,2024-09-30,8.54,13.49,4.82,8.68,-4.95,80.7,13.4,5.9,14.24,11.05,8.83
2025Q1,2024-12-31,6.04,1.81,3.21,-1.4,4.23,64.6,0.0,16.2,3.3,7.62,-1.17
2026Q1,2025-12-31,13.57,-1.57,-1.06,-0.51,15.14,89.7,0.0,10.3,-2.43,-7.61,5.95
