holdings_date,电子,计算机,通信,电力设备,汽车,食品饮料,其他
2022-12-31,9.0,83.3,7.7,0.0,0.0,0.0,0.0
2023-03-31,8.2,91.8,0.0,0.0,0.0,0.0,0.0
2023-06-30,20.6,70.1,9.4,0.0,0.0,0.0,0.0
2023-09-30,55.5,44.5,0.0,0.0,0.0,0.0,0.0
2023-12-31,45.4,45.4,0.0,0.0,0.0,0.0,9.2
2024-03-31,72.0,15.3,0.0,0.0,0.0,0.0,12.7
2024-06-30,82.4,0.0,17.6,0.0,0.0,0.0,0.0
2024-09-30,80.7,13.4,5.9,0.0,0.0,0.0,0.0
2024-12-31,64.6,0.0,16.2,19.2,0.0,0.0,0.0
2025-12-31,89.7,0.0,10.3,0.0,0.0,0.0,0.0
2026-03-31,82.2,0.0,17.8,0.0,0.0,0.0,0.0
