date,contract_avg_price_usd,source
2021-10-31,3.71,DRAMexchange/iFinD
2021-11-30,3.71,DRAMexchange/iFinD
2021-12-31,3.71,DRAMexchange/iFinD
2022-01-31,3.41,DRAMexchange/iFinD
2022-02-28,3.41,DRAMexchange/iFinD
2022-03-31,3.41,DRAMexchange/iFinD
2022-04-30,3.41,DRAMexchange/iFinD
2022-05-31,3.35,DRAMexchange/iFinD
2022-06-30,3.35,DRAMexchange/iFinD
2022-07-31,2.88,DRAMexchange/iFinD
2022-08-31,2.85,DRAMexchange/iFinD
2022-09-30,2.85,DRAMexchange/iFinD
2022-10-31,2.21,DRAMexchange/iFinD
2022-11-30,2.21,DRAMexchange/iFinD
2022-12-31,2.21,DRAMexchange/iFinD
2023-01-31,1.81,DRAMexchange/iFinD
2023-02-28,1.81,DRAMexchange/iFinD
2023-03-31,1.81,DRAMexchange/iFinD
2023-04-30,1.45,DRAMexchange/iFinD
2023-05-31,1.4,DRAMexchange/iFinD
2023-06-30,1.36,DRAMexchange/iFinD
2023-07-31,1.34,DRAMexchange/iFinD
2023-08-31,1.3,DRAMexchange/iFinD
2023-09-30,1.3,DRAMexchange/iFinD
2023-10-31,1.5,DRAMexchange/iFinD
2023-11-30,1.55,DRAMexchange/iFinD
2023-12-31,1.65,DRAMexchange/iFinD
2024-01-31,1.8,DRAMexchange/iFinD
2024-02-29,1.8,DRAMexchange/iFinD
2024-03-31,1.8,DRAMexchange/iFinD
2024-04-30,2.1,DRAMexchange/iFinD
2024-05-31,2.1,DRAMexchange/iFinD
2024-06-30,2.1,DRAMexchange/iFinD
2024-07-31,2.1,DRAMexchange/iFinD
2024-08-31,2.05,DRAMexchange/iFinD
2024-09-30,1.7,DRAMexchange/iFinD
2024-10-31,1.7,DRAMexchange/iFinD
2024-11-30,1.35,DRAMexchange/iFinD
2024-12-31,1.35,DRAMexchange/iFinD
2025-01-31,1.35,DRAMexchange/iFinD
2025-02-28,1.35,DRAMexchange/iFinD
2025-03-31,1.35,DRAMexchange/iFinD
2025-04-30,1.65,DRAMexchange/iFinD
2025-05-31,2.1,DRAMexchange/iFinD
2025-06-30,2.6,DRAMexchange/iFinD
2025-07-31,3.9,DRAMexchange/iFinD
2025-08-31,5.7,DRAMexchange/iFinD
2025-09-30,6.3,DRAMexchange/iFinD
2025-10-31,7.0,DRAMexchange/iFinD
2025-11-30,8.1,DRAMexchange/iFinD
2025-12-31,9.3,DRAMexchange/iFinD
2026-01-31,11.5,DRAMexchange/iFinD
2026-02-28,13.0,DRAMexchange/iFinD
