date,spot_avg_price_usd,source
2025-02-24,2.42,DRAMexchange via iFinD (S009122014)
2025-03-03,2.443,DRAMexchange via iFinD (S009122014)
2025-03-10,2.5,DRAMexchange via iFinD (S009122014)
2025-03-17,2.58,DRAMexchange via iFinD (S009122014)
2025-03-24,2.715,DRAMexchange via iFinD (S009122014)
2025-03-31,2.775,DRAMexchange via iFinD (S009122014)
2025-04-07,2.775,DRAMexchange via iFinD (S009122014)
2025-04-14,2.765,DRAMexchange via iFinD (S009122014)
2025-04-21,2.764,DRAMexchange via iFinD (S009122014)
2025-04-28,2.749,DRAMexchange via iFinD (S009122014)
2025-05-05,2.739,DRAMexchange via iFinD (S009122014)
2025-05-12,2.735,DRAMexchange via iFinD (S009122014)
2025-05-19,2.73,DRAMexchange via iFinD (S009122014)
2025-05-26,2.725,DRAMexchange via iFinD (S009122014)
2025-06-02,2.713,DRAMexchange via iFinD (S009122014)
2025-06-09,2.707,DRAMexchange via iFinD (S009122014)
2025-06-16,2.693,DRAMexchange via iFinD (S009122014)
2025-06-23,2.683,DRAMexchange via iFinD (S009122014)
2025-06-30,2.68,DRAMexchange via iFinD (S009122014)
2025-07-07,2.676,DRAMexchange via iFinD (S009122014)
2025-07-14,2.673,DRAMexchange via iFinD (S009122014)
2025-07-21,2.7,DRAMexchange via iFinD (S009122014)
2025-07-28,2.717,DRAMexchange via iFinD (S009122014)
2025-08-04,2.784,DRAMexchange via iFinD (S009122014)
2025-08-11,2.808,DRAMexchange via iFinD (S009122014)
2025-08-18,2.798,DRAMexchange via iFinD (S009122014)
2025-08-25,2.795,DRAMexchange via iFinD (S009122014)
2025-09-01,2.798,DRAMexchange via iFinD (S009122014)
2025-09-08,2.84,DRAMexchange via iFinD (S009122014)
2025-09-15,2.855,DRAMexchange via iFinD (S009122014)
2025-09-22,2.96,DRAMexchange via iFinD (S009122014)
2025-09-29,3.121,DRAMexchange via iFinD (S009122014)
2025-10-06,3.455,DRAMexchange via iFinD (S009122014)
2025-10-13,3.576,DRAMexchange via iFinD (S009122014)
2025-10-20,4.576,DRAMexchange via iFinD (S009122014)
2025-10-27,4.828,DRAMexchange via iFinD (S009122014)
2025-11-03,5.514,DRAMexchange via iFinD (S009122014)
2025-11-10,6.455,DRAMexchange via iFinD (S009122014)
2025-11-17,7.421,DRAMexchange via iFinD (S009122014)
2025-11-24,9.072,DRAMexchange via iFinD (S009122014)
2025-12-01,9.607,DRAMexchange via iFinD (S009122014)
2025-12-08,9.634,DRAMexchange via iFinD (S009122014)
2025-12-15,9.619,DRAMexchange via iFinD (S009122014)
2025-12-22,11.517,DRAMexchange via iFinD (S009122014)
2025-12-29,13.055,DRAMexchange via iFinD (S009122014)
2026-01-05,13.724,DRAMexchange via iFinD (S009122014)
2026-01-12,15.052,DRAMexchange via iFinD (S009122014)
2026-01-19,15.448,DRAMexchange via iFinD (S009122014)
2026-01-26,16.31,DRAMexchange via iFinD (S009122014)
2026-02-02,17.724,DRAMexchange via iFinD (S009122014)
2026-02-09,17.948,DRAMexchange via iFinD (S009122014)
2026-02-23,17.948,DRAMexchange via iFinD (S009122014)
2026-03-02,20.586,DRAMexchange via iFinD (S009122014)
2026-03-09,23.134,DRAMexchange via iFinD (S009122014)
2026-03-16,23.0,DRAMexchange via iFinD (S009122014)
2026-03-23,22.834,DRAMexchange via iFinD (S009122014)
2026-03-30,22.155,DRAMexchange via iFinD (S009122014)
2026-04-06,21.679,DRAMexchange via iFinD (S009122014)
2026-04-13,21.0,DRAMexchange via iFinD (S009122014)
2026-04-20,20.972,DRAMexchange via iFinD (S009122014)
