date,revenue_ktwd,yoy_pct,source
2010-01-31,29156271,134.44,台湾证券交易所/iFinD
2010-02-28,29195234,153.79,台湾证券交易所/iFinD
2010-03-31,30823003,126.32,台湾证券交易所/iFinD
2010-04-30,32683232,50.3,台湾证券交易所/iFinD
2010-05-31,33839484,38.27,台湾证券交易所/iFinD
2010-06-30,35113042,36.21,台湾证券交易所/iFinD
2010-07-31,36156392,19.41,台湾证券交易所/iFinD
2010-08-31,36498090,26.34,台湾证券交易所/iFinD
2010-09-30,36652584,30.79,台湾证券交易所/iFinD
2010-10-31,37372507,28.07,台湾证券交易所/iFinD
2010-11-30,35722299,21.72,台湾证券交易所/iFinD
2010-12-31,33751175,10.78,台湾证券交易所/iFinD
2011-01-31,34424173,18.07,台湾证券交易所/iFinD
2011-02-28,31753825,8.76,台湾证券交易所/iFinD
2011-03-31,36370479,18.0,台湾证券交易所/iFinD
2011-04-30,36230359,10.85,台湾证券交易所/iFinD
2011-05-31,35960997,6.27,台湾证券交易所/iFinD
2011-06-30,35653939,1.54,台湾证券交易所/iFinD
2011-07-31,34916788,-3.43,台湾证券交易所/iFinD
2011-08-31,37041705,1.49,台湾证券交易所/iFinD
2011-09-30,32860849,-10.35,台湾证券交易所/iFinD
2011-10-31,37246661,-0.34,台湾证券交易所/iFinD
2011-11-30,35218771,-1.41,台湾证券交易所/iFinD
2011-12-31,30566947,-9.43,台湾证券交易所/iFinD
2012-01-31,34053091,-1.08,台湾证券交易所/iFinD
2012-02-29,33584499,5.77,台湾证券交易所/iFinD
2012-03-31,36611146,0.66,台湾证券交易所/iFinD
2012-04-30,40007591,10.43,台湾证券交易所/iFinD
2012-05-31,43623222,21.31,台湾证券交易所/iFinD
2012-06-30,42869733,20.24,台湾证券交易所/iFinD
2012-07-31,47924170,37.25,台湾证券交易所/iFinD
2012-08-31,48896013,32.0,台湾证券交易所/iFinD
2012-09-30,42816800,30.3,台湾证券交易所/iFinD
2012-10-31,49282571,32.31,台湾证券交易所/iFinD
2012-11-30,43644278,23.92,台湾证券交易所/iFinD
2012-12-31,36558773,19.6,台湾证券交易所/iFinD
2013-01-31,47438687,39.31,台湾证券交易所/iFinD
2013-02-28,41182084,22.62,台湾证券交易所/iFinD
2013-03-31,44134225,20.55,台湾证券交易所/iFinD
2013-04-30,50070645,25.15,台湾证券交易所/iFinD
2013-05-31,51787926,18.72,台湾证券交易所/iFinD
2013-06-30,54027749,26.03,台湾证券交易所/iFinD
2013-07-31,52103384,8.72,台湾证券交易所/iFinD
2013-08-31,55091177,12.67,台湾证券交易所/iFinD
2013-09-30,55382473,29.35,台湾证券交易所/iFinD
2013-10-31,51794813,5.1,台湾证券交易所/iFinD
2013-11-30,44329997,1.57,台湾证券交易所/iFinD
2013-12-31,49681037,35.89,台湾证券交易所/iFinD
2014-01-31,51429993,8.41,台湾证券交易所/iFinD
2014-02-28,46829051,13.71,台湾证券交易所/iFinD
2014-03-31,46829051,6.11,台湾证券交易所/iFinD
2014-04-30,61887391,23.6,台湾证券交易所/iFinD
2014-05-31,60789137,17.38,台湾证券交易所/iFinD
2014-06-30,60343956,11.69,台湾证券交易所/iFinD
2014-07-31,64924870,24.61,台湾证券交易所/iFinD
2014-08-31,69278551,25.75,台湾证券交易所/iFinD
2014-09-30,74846313,35.14,台湾证券交易所/iFinD
2014-10-31,80736353,55.88,台湾证券交易所/iFinD
2014-11-30,72274532,63.04,台湾证券交易所/iFinD
2014-12-31,69510190,39.91,台湾证券交易所/iFinD
2015-01-31,87120068,69.4,台湾证券交易所/iFinD
2015-02-28,62645075,33.77,台湾证券交易所/iFinD
2015-03-31,72269001,54.33,台湾证券交易所/iFinD
2015-04-30,75329510,21.72,台湾证券交易所/iFinD
2015-05-31,70154763,15.41,台湾证券交易所/iFinD
2015-06-30,59955479,-0.64,台湾证券交易所/iFinD
2015-07-31,80952810,24.69,台湾证券交易所/iFinD
2015-08-31,67038016,-3.23,台湾证券交易所/iFinD
2015-09-30,64514083,-13.8,台湾证券交易所/iFinD
2015-10-31,81743395,1.25,台湾证券交易所/iFinD
2015-11-30,63428163,-12.24,台湾证券交易所/iFinD
2015-12-31,58347005,-16.06,台湾证券交易所/iFinD
2016-01-31,70855235,-18.67,台湾证券交易所/iFinD
2016-02-29,59551321,-4.94,台湾证券交易所/iFinD
2016-03-31,73088805,1.13,台湾证券交易所/iFinD
2016-04-30,66843310,-11.27,台湾证券交易所/iFinD
2016-05-31,73575784,4.88,台湾证券交易所/iFinD
2016-06-30,81390752,35.75,台湾证券交易所/iFinD
2016-07-31,76391654,-5.63,台湾证券交易所/iFinD
2016-08-31,94311424,40.68,台湾证券交易所/iFinD
2016-09-30,89702807,39.04,台湾证券交易所/iFinD
2016-10-31,91085318,11.43,台湾证券交易所/iFinD
2016-11-30,93029912,46.67,台湾证券交易所/iFinD
2016-12-31,78112022,33.87,台湾证券交易所/iFinD
2017-01-31,76616258,8.13,台湾证券交易所/iFinD
2017-02-28,71422961,19.94,台湾证券交易所/iFinD
2017-03-31,85875181,17.49,台湾证券交易所/iFinD
2017-04-30,56871933,-14.92,台湾证券交易所/iFinD
2017-05-31,72795974,-1.06,台湾证券交易所/iFinD
2017-06-30,84187305,3.44,台湾证券交易所/iFinD
2017-07-31,71611190,-6.26,台湾证券交易所/iFinD
2017-08-31,91917167,-2.54,台湾证券交易所/iFinD
2017-09-30,88578988,-1.25,台湾证券交易所/iFinD
2017-10-31,94519722,3.77,台湾证券交易所/iFinD
2017-11-30,93153310,0.13,台湾证券交易所/iFinD
2017-12-31,89897252,15.09,台湾证券交易所/iFinD
2018-01-31,79740672,4.08,台湾证券交易所/iFinD
2018-02-28,64640562,-9.5,台湾证券交易所/iFinD
2018-03-31,103697437,20.75,台湾证券交易所/iFinD
2018-04-30,81869781,43.95,台湾证券交易所/iFinD
2018-05-31,80968732,11.23,台湾证券交易所/iFinD
2018-06-30,70438298,-16.33,台湾证券交易所/iFinD
2018-07-31,74370924,3.85,台湾证券交易所/iFinD
2018-08-31,91055038,-0.94,台湾证券交易所/iFinD
2018-09-30,94921920,7.16,台湾证券交易所/iFinD
2018-10-31,101550181,7.44,台湾证券交易所/iFinD
2018-11-30,98389414,5.62,台湾证券交易所/iFinD
2018-12-31,89830598,-0.07,台湾证券交易所/iFinD
2019-01-31,78093827,-2.07,台湾证券交易所/iFinD
2019-02-28,60889055,-5.8,台湾证券交易所/iFinD
2019-03-31,79721587,-23.12,台湾证券交易所/iFinD
2019-04-30,74693615,-8.77,台湾证券交易所/iFinD
2019-05-31,80436931,-0.66,台湾证券交易所/iFinD
2019-06-30,85867929,21.91,台湾证券交易所/iFinD
2019-07-31,84757724,13.97,台湾证券交易所/iFinD
2019-08-31,106117619,16.54,台湾证券交易所/iFinD
2019-09-30,102170096,7.64,台湾证券交易所/iFinD
2019-10-31,106039531,4.42,台湾证券交易所/iFinD
2019-11-30,107884396,9.65,台湾证券交易所/iFinD
2019-12-31,103313138,15.01,台湾证券交易所/iFinD
2020-01-31,103683135,32.77,台湾证券交易所/iFinD
2020-02-29,93394449,53.38,台湾证券交易所/iFinD
2020-03-31,113519599,42.4,台湾证券交易所/iFinD
2020-04-30,96001572,28.53,台湾证券交易所/iFinD
2020-05-31,93819010,16.64,台湾证券交易所/iFinD
2020-06-30,120877785,40.77,台湾证券交易所/iFinD
