date | sales_usd_billion | yoy_pct
------------+-------------------+---------
 2022-01-31 | 46.89             | 17.16
 2022-02-28 | 50.31             | 29.03
 2022-03-31 | 54.55             | 23.05
 2022-04-30 | 47.96             | 11.72
 2022-05-31 | 52.45             | 17.46
 2022-06-30 | 50.1              | 5.95
 2022-07-31 | 44.46             | -1.52
 2022-08-31 | 47.16             | -4.31
 2022-09-30 | 49.4              | -2.02
 2022-10-31 | 44.27             | -5.15
 2022-11-30 | 43.07             | -16.65
 2022-12-31 | 43.48             | -21.79
 2023-01-31 | 37.46             | -20.11
 2023-02-28 | 38.16             | -24.14
 2023-03-31 | 43.89             | -19.55
 2023-04-30 | 38.26             | -20.22
 2023-05-31 | 41.41             | -21.04
 2023-06-30 | 47.04             | -6.11
 2023-07-31 | 41.24             | -7.24
 2023-08-31 | 43.87             | -6.98
 2023-09-30 | 49.57             | 0.35
 2023-10-31 | 46.38             | 4.76
 2023-11-30 | 47.99             | 11.42
 2023-12-31 | 51.62             | 18.73
 2024-01-31 | 44.26             | 18.15
 2024-02-29 | 44.82             | 17.45
 2024-03-31 | 52.05             | 18.61
 2024-04-30 | 44.76             | 16.99
 2024-05-31 | 50.88             | 22.87
 2024-06-30 | 54.66             | 16.21
 2024-07-31 | 48.89             | 18.56
 2024-08-31 | 56.35             | 28.45
 2024-09-30 | 61.31             | 23.68
 2024-10-31 | 53.8              | 15.99
 2024-11-30 | 58.95             | 22.84
 2024-12-31 | 59.81             | 15.88
 2025-01-31 | 50.77             | 14.7
 2025-02-28 | 54.07             | 20.64
 2025-03-31 | 61.77             | 18.68
 2025-04-30 | 55.09             | 23.08
 2025-05-31 | 60.4              | 18.71
 2025-06-30 | 64.86             | 18.65
 2025-07-31 | 62.1              | 27.03
 2025-08-31 | 69.17             | 22.76
 2025-09-30 | 78.52             | 28.07
 2025-10-31 | 71.65             | 33.18
 2025-11-30 | 81.88             | 38.9
 2025-12-31 | 85.35             | 42.69
 2026-01-31 | 80.38             | 58.34
 2026-02-28 | 100.62            | 86.08
