date,avg_price_rmb_per_ton,source,note
2026-01-23,169000.0,同花顺金融/iFinD,电池级Li2CO3≥99.5%华东平均价，日频聚合为周频
2026-01-30,168820.0,同花顺金融/iFinD,电池级Li2CO3≥99.5%华东平均价，日频聚合为周频
2026-02-06,145850.0,同花顺金融/iFinD,电池级Li2CO3≥99.5%华东平均价，日频聚合为周频
2026-02-14,140875.0,同花顺金融/iFinD,电池级Li2CO3≥99.5%华东平均价，日频聚合为周频
2026-02-27,165788.0,同花顺金融/iFinD,电池级Li2CO3≥99.5%华东平均价，日频聚合为周频
2026-03-06,159580.0,同花顺金融/iFinD,电池级Li2CO3≥99.5%华东平均价，日频聚合为周频
2026-03-13,157580.0,同花顺金融/iFinD,电池级Li2CO3≥99.5%华东平均价，日频聚合为周频
2026-03-20,152320.0,同花顺金融/iFinD,电池级Li2CO3≥99.5%华东平均价，日频聚合为周频
2026-03-27,152710.0,同花顺金融/iFinD,电池级Li2CO3≥99.5%华东平均价，日频聚合为周频
2026-04-03,162730.0,同花顺金融/iFinD,电池级Li2CO3≥99.5%华东平均价，日频聚合为周频
2026-04-10,156938.0,同花顺金融/iFinD,电池级Li2CO3≥99.5%华东平均价，日频聚合为周频
2026-04-17,163180.0,同花顺金融/iFinD,电池级Li2CO3≥99.5%华东平均价，日频聚合为周频
2026-04-24,171960.0,同花顺金融/iFinD,电池级Li2CO3≥99.5%华东平均价，日频聚合为周频
