date,avg_price_rmb_per_kg,source,note
2026-01-30,720.2,中国稀土行业协会/iFinD,氧化镨钕≥99%Nd2O3 75%平均价，日频聚合为周频
2026-02-06,745.4,中国稀土行业协会/iFinD,氧化镨钕≥99%Nd2O3 75%平均价，日频聚合为周频
2026-02-14,842.5,中国稀土行业协会/iFinD,氧化镨钕≥99%Nd2O3 75%平均价，日频聚合为周频
2026-02-28,883.6,中国稀土行业协会/iFinD,氧化镨钕≥99%Nd2O3 75%平均价，日频聚合为周频
2026-03-06,851.1,中国稀土行业协会/iFinD,氧化镨钕≥99%Nd2O3 75%平均价，日频聚合为周频
2026-03-13,804.0,中国稀土行业协会/iFinD,氧化镨钕≥99%Nd2O3 75%平均价，日频聚合为周频
2026-03-20,735.0,中国稀土行业协会/iFinD,氧化镨钕≥99%Nd2O3 75%平均价，日频聚合为周频
2026-03-27,714.2,中国稀土行业协会/iFinD,氧化镨钕≥99%Nd2O3 75%平均价，日频聚合为周频
2026-04-03,726.5,中国稀土行业协会/iFinD,氧化镨钕≥99%Nd2O3 75%平均价，日频聚合为周频
2026-04-10,759.1,中国稀土行业协会/iFinD,氧化镨钕≥99%Nd2O3 75%平均价，日频聚合为周频
2026-04-17,771.7,中国稀土行业协会/iFinD,氧化镨钕≥99%Nd2O3 75%平均价，日频聚合为周频
2026-04-24,798.8,中国稀土行业协会/iFinD,氧化镨钕≥99%Nd2O3 75%平均价，日频聚合为周频
2026-04-27,768.8,中国稀土行业协会/iFinD,氧化镨钕≥99%Nd2O3 75%平均价，日频聚合为周频
