date | cumulative_gw
------------+---------------
 2022-02-28 | 5.73
 2022-03-31 | 7.9
 2022-04-30 | 9.58
 2022-05-31 | 10.82
 2022-06-30 | 12.94
 2022-07-31 | 14.93
 2022-08-31 | 16.14
 2022-09-30 | 19.24
 2022-10-31 | 21.14
 2022-11-30 | 22.52
 2022-12-31 | 37.63
 2023-02-28 | 5.84
 2023-03-31 | 10.4
 2023-04-30 | 14.2
 2023-05-31 | 16.36
 2023-06-30 | 22.99
 2023-07-31 | 26.31
 2023-08-31 | 28.92
 2023-09-30 | 33.48
 2023-10-31 | 37.31
 2023-11-30 | 41.39
 2023-12-31 | 75.66
 2024-02-29 | 9.89
 2024-03-31 | 15.5
 2024-04-30 | 16.84
 2024-05-31 | 19.76
 2024-06-30 | 25.84
 2024-07-31 | 29.91
 2024-08-31 | 33.61
 2024-09-30 | 39.12
 2024-10-31 | 45.8
 2024-11-30 | 51.75
 2024-12-31 | 79.82
 2025-02-28 | 9.28
 2025-03-31 | 14.62
 2025-04-30 | 19.96
 2025-05-31 | 46.28
 2025-06-30 | 51.39
 2025-07-31 | 53.67
 2025-08-31 | 57.84
 2025-09-30 | 61.09
 2025-10-31 | 70.01
 2025-11-30 | 82.5
 2025-12-31 | 120.48
 2026-02-28 | 11.04
