date,installation_mwh,yoy_pct,source
2017-01-31,110.0,,中国汽车动力电池产业创新联盟/iFinD
2017-02-28,230.0,,中国汽车动力电池产业创新联盟/iFinD
2017-03-31,940.0,,中国汽车动力电池产业创新联盟/iFinD
2017-04-30,930.0,,中国汽车动力电池产业创新联盟/iFinD
2017-05-31,1440.0,,中国汽车动力电池产业创新联盟/iFinD
2017-06-30,2170.0,,中国汽车动力电池产业创新联盟/iFinD
2017-07-31,2600.0,,中国汽车动力电池产业创新联盟/iFinD
2017-08-31,2900.0,,中国汽车动力电池产业创新联盟/iFinD
2017-09-30,3430.0,,中国汽车动力电池产业创新联盟/iFinD
2017-10-31,2920.0,,中国汽车动力电池产业创新联盟/iFinD
2017-11-30,7160.0,,中国汽车动力电池产业创新联盟/iFinD
2017-12-31,11600.0,,中国汽车动力电池产业创新联盟/iFinD
2018-01-31,1310.0,1090.91,中国汽车动力电池产业创新联盟/iFinD
2018-02-28,1030.0,347.83,中国汽车动力电池产业创新联盟/iFinD
2018-03-31,2080.0,121.28,中国汽车动力电池产业创新联盟/iFinD
2018-04-30,3760.0,304.3,中国汽车动力电池产业创新联盟/iFinD
2018-05-31,4500.0,212.5,中国汽车动力电池产业创新联盟/iFinD
2018-06-30,2870.0,32.26,中国汽车动力电池产业创新联盟/iFinD
2018-07-31,3340.0,28.46,中国汽车动力电池产业创新联盟/iFinD
2018-08-31,4180.0,44.14,中国汽车动力电池产业创新联盟/iFinD
2018-09-30,5720.0,66.76,中国汽车动力电池产业创新联盟/iFinD
2018-10-31,5940.0,103.42,中国汽车动力电池产业创新联盟/iFinD
2018-11-30,8920.0,24.58,中国汽车动力电池产业创新联盟/iFinD
2018-12-31,13370.0,15.26,中国汽车动力电池产业创新联盟/iFinD
2019-01-31,4970.0,279.39,中国汽车动力电池产业创新联盟/iFinD
2019-02-28,2240.0,117.48,中国汽车动力电池产业创新联盟/iFinD
2019-03-31,5090.0,144.71,中国汽车动力电池产业创新联盟/iFinD
2019-04-30,5410.0,43.88,中国汽车动力电池产业创新联盟/iFinD
2019-05-31,5680.0,26.22,中国汽车动力电池产业创新联盟/iFinD
2019-06-30,6620.0,130.66,中国汽车动力电池产业创新联盟/iFinD
