date | production_gwh
------------+----------------
 2022-01-31 | 29.66
 2022-02-28 | 31.77
 2022-03-31 | 39.18
 2022-04-30 | 28.96
 2022-05-31 | 35.58
 2022-06-30 | 41.29
 2022-07-31 | 47.24
 2022-08-31 | 50.08
 2022-09-30 | 59.14
 2022-10-31 | 62.82
 2022-11-30 | 63.41
 2022-12-31 | 52.47
 2023-01-31 | 28.17
 2023-02-28 | 41.45
 2023-03-31 | 51.19
 2023-04-30 | 46.96
 2023-05-31 | 56.56
 2023-06-30 | 60.12
 2023-07-31 | 61.0
 2023-08-31 | 73.34
 2023-09-30 | 77.4
 2023-10-31 | 77.3
 2023-11-30 | 87.7
 2023-12-31 | 77.7
 2024-01-31 | 65.2
 2024-02-29 | 43.6
 2024-03-31 | 75.8
 2024-04-30 | 78.2
 2024-05-31 | 82.7
 2024-06-30 | 84.5
 2024-07-31 | 91.8
 2024-08-31 | 101.3
 2024-09-30 | 111.3
 2024-10-31 | 113.1
 2024-11-30 | 117.8
 2024-12-31 | 124.5
 2025-01-31 | 107.8
 2025-02-28 | 100.3
 2025-03-31 | 118.3
 2025-04-30 | 118.2
 2025-05-31 | 123.5
 2025-06-30 | 129.2
 2025-07-31 | 133.8
 2025-08-31 | 139.6
 2025-09-30 | 151.2
 2025-10-31 | 170.6
 2025-11-30 | 176.3
 2025-12-31 | 201.7
 2026-01-31 | 168.0
 2026-02-28 | 141.6
 2026-03-31 | 177.7
