date | penetration_rate_pct
------------+----------------------
 2022-01-31 | 19.0
 2022-02-28 | 21.8
 2022-03-31 | 25.1
 2022-04-30 | 29.6
 2022-05-31 | 26.5
 2022-06-30 | 26.1
 2022-07-31 | 26.4
 2022-08-31 | 30.1
 2022-09-30 | 29.4
 2022-10-31 | 30.8
 2022-11-30 | 35.9
 2022-12-31 | 33.7
 2023-01-31 | 26.8
 2023-02-28 | 30.6
 2023-03-31 | 31.0
 2023-04-30 | 33.9
 2023-05-31 | 33.7
 2023-08-31 | 35.7
 2023-09-30 | 33.9
 2023-10-31 | 36.2
 2023-11-30 | 37.7
 2023-12-31 | 40.8
 2024-01-31 | 32.6
 2024-02-29 | 34.5
 2024-03-31 | 37.0
 2024-04-30 | 39.9
 2024-05-31 | 44.2
 2024-06-30 | 45.3
 2024-07-31 | 48.1
 2024-08-31 | 48.9
 2024-09-30 | 49.1
 2024-10-31 | 50.1
 2024-11-30 | 48.9
 2024-12-31 | 49.2
 2025-01-31 | 42.3
 2025-02-28 | 47.0
 2025-03-31 | 46.8
 2025-04-30 | 51.7
 2025-05-31 | 52.6
 2025-06-30 | 49.8
 2025-07-31 | 53.2
 2025-08-31 | 52.2
 2025-09-30 | 53.5
 2025-10-31 | 55.3
 2025-11-30 | 56.9
 2025-12-31 | 56.0
 2026-01-31 | 43.8
 2026-02-28 | 47.6
 2026-03-31 | 48.1
