date,avg_price_rmb_per_kg,source,note
2025-02-12,39.0,InfoLink/iFinD,致密料平均价
2025-02-19,39.0,InfoLink/iFinD,致密料平均价
2025-02-26,39.0,InfoLink/iFinD,致密料平均价
2025-03-05,40.0,InfoLink/iFinD,致密料平均价
2025-03-12,40.0,InfoLink/iFinD,致密料平均价
2025-03-19,40.0,InfoLink/iFinD,致密料平均价
2025-03-26,40.0,InfoLink/iFinD,致密料平均价
2025-04-02,40.0,InfoLink/iFinD,致密料平均价
2025-04-09,40.0,InfoLink/iFinD,致密料平均价
2025-04-16,40.0,InfoLink/iFinD,致密料平均价
2025-04-23,40.0,InfoLink/iFinD,致密料平均价
2025-04-30,40.0,InfoLink/iFinD,致密料平均价
2025-05-07,39.0,InfoLink/iFinD,致密料平均价
2025-05-14,37.0,InfoLink/iFinD,致密料平均价
2025-05-21,37.0,InfoLink/iFinD,致密料平均价
2025-05-28,36.0,InfoLink/iFinD,致密料平均价
2025-06-04,36.0,InfoLink/iFinD,致密料平均价
2025-06-11,35.0,InfoLink/iFinD,致密料平均价
2025-06-18,35.0,InfoLink/iFinD,致密料平均价
2025-06-25,35.0,InfoLink/iFinD,致密料平均价
2025-07-02,35.0,InfoLink/iFinD,致密料平均价
2025-07-09,35.0,InfoLink/iFinD,致密料平均价
2025-07-16,37.0,InfoLink/iFinD,致密料平均价
2025-07-23,42.0,InfoLink/iFinD,致密料平均价
2025-07-30,44.0,InfoLink/iFinD,致密料平均价
2025-08-06,44.0,InfoLink/iFinD,致密料平均价
2025-08-13,44.0,InfoLink/iFinD,致密料平均价
2025-08-20,44.0,InfoLink/iFinD,致密料平均价
2025-08-27,46.0,InfoLink/iFinD,致密料平均价
2025-09-03,48.0,InfoLink/iFinD,致密料平均价
2025-09-10,50.0,InfoLink/iFinD,致密料平均价
2025-09-17,51.0,InfoLink/iFinD,致密料平均价
2025-09-24,51.0,InfoLink/iFinD,致密料平均价
2025-10-15,52.0,InfoLink/iFinD,致密料平均价
2025-10-22,52.0,InfoLink/iFinD,致密料平均价
2025-10-29,52.0,InfoLink/iFinD,致密料平均价
2025-11-05,52.0,InfoLink/iFinD,致密料平均价
2025-11-12,52.0,InfoLink/iFinD,致密料平均价
2025-11-19,52.0,InfoLink/iFinD,致密料平均价
2025-11-26,52.0,InfoLink/iFinD,致密料平均价
2025-12-03,52.0,InfoLink/iFinD,致密料平均价
2025-12-10,52.0,InfoLink/iFinD,致密料平均价
2025-12-17,52.0,InfoLink/iFinD,致密料平均价
2025-12-24,52.0,InfoLink/iFinD,致密料平均价
2025-12-31,52.0,InfoLink/iFinD,致密料平均价
2026-01-07,54.0,InfoLink/iFinD,致密料平均价
2026-01-14,54.0,InfoLink/iFinD,致密料平均价
2026-01-21,54.0,InfoLink/iFinD,致密料平均价
2026-01-28,54.0,InfoLink/iFinD,致密料平均价
2026-02-04,54.0,InfoLink/iFinD,致密料平均价
2026-02-11,54.0,InfoLink/iFinD,致密料平均价
2026-02-25,52.0,InfoLink/iFinD,致密料平均价
2026-03-04,48.0,InfoLink/iFinD,致密料平均价
2026-03-11,46.5,InfoLink/iFinD,致密料平均价
2026-03-18,45.0,InfoLink/iFinD,致密料平均价
2026-03-25,40.5,InfoLink/iFinD,致密料平均价
2026-04-01,37.0,InfoLink/iFinD,致密料平均价
2026-04-08,36.0,InfoLink/iFinD,致密料平均价
2026-04-15,35.5,InfoLink/iFinD,致密料平均价
2026-04-22,35.5,InfoLink/iFinD,致密料平均价
