date | cumulative_gw
------------+---------------
 2022-02-28 | 10.86
 2022-03-31 | 13.21
 2022-04-30 | 16.88
 2022-05-31 | 23.71
 2022-06-30 | 30.88
 2022-07-31 | 37.73
 2022-08-31 | 44.47
 2022-09-30 | 52.6
 2022-10-31 | 58.24
 2022-11-30 | 65.71
 2022-12-31 | 88.21
 2023-02-28 | 20.37
 2023-03-31 | 33.66
 2023-04-30 | 48.31
 2023-05-31 | 61.21
 2023-06-30 | 78.42
 2023-07-31 | 97.16
 2023-08-31 | 113.16
 2023-09-30 | 128.94
 2023-10-31 | 142.56
 2023-11-30 | 163.88
 2023-12-31 | 216.02
 2024-02-29 | 36.72
 2024-03-31 | 45.74
 2024-04-30 | 60.11
 2024-05-31 | 79.15
 2024-06-30 | 102.48
 2024-07-31 | 123.53
 2024-08-31 | 139.99
 2024-09-30 | 160.88
 2024-10-31 | 181.3
 2024-11-30 | 206.3
 2024-12-31 | 277.98
 2025-02-28 | 39.47
 2025-03-31 | 59.71
 2025-04-30 | 104.93
 2025-05-31 | 197.85
 2025-06-30 | 212.21
 2025-07-31 | 223.25
 2025-08-31 | 230.61
 2025-09-30 | 240.27
 2025-10-31 | 252.87
 2025-11-30 | 274.89
 2025-12-31 | 317.51
 2026-02-28 | 32.48
