date,spot_settlement_usd_per_ton,source,note
2024-01-05,8383.1,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2024-01-12,8300.5,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2024-01-19,8242.5,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2024-01-26,8386.2,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2024-02-02,8446.6,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2024-02-09,8236.6,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2024-02-16,8175.8,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2024-02-23,8425.5,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2024-03-01,8378.6,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2024-03-08,8483.8,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2024-03-15,8702.6,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2024-03-22,8850.5,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2024-03-28,8733.5,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2024-04-05,9076.8,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2024-04-12,9320.8,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2024-04-19,9513.4,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2024-04-26,9748.9,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2024-05-03,9819.3,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2024-05-10,9814.2,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2024-05-17,10202.6,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2024-05-24,10525.2,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2024-05-31,10156.6,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2024-06-07,9876.6,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2024-06-14,9668.4,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2024-06-21,9553.2,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2024-06-28,9468.2,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2024-07-05,9644.4,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2024-07-12,9726.5,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2024-07-19,9466.8,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2024-07-26,9026.8,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2024-08-02,8940.9,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2024-08-09,8694.9,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2024-08-16,8907.2,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2024-08-23,9107.7,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2024-08-30,9178.5,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2024-09-06,8929.7,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2024-09-13,9025.6,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2024-09-20,9309.5,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2024-09-27,9650.7,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2024-10-04,9792.1,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2024-10-11,9617.8,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2024-10-18,9451.8,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2024-10-25,9449.0,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2024-11-01,9408.2,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2024-11-08,9410.4,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2024-11-15,9009.6,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2024-11-22,8915.1,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2024-11-29,8894.0,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2024-12-06,8954.0,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2024-12-13,9055.1,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2024-12-20,8855.5,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2024-12-27,8842.8,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2025-01-03,8731.4,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2025-01-10,8916.5,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2025-01-17,9056.6,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2025-01-24,9101.5,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2025-01-31,8949.4,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2025-02-07,9067.5,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2025-02-14,9396.8,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2025-02-21,9405.5,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2025-02-28,9447.2,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2025-03-07,9522.9,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2025-03-14,9680.5,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2025-03-21,9847.3,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2025-03-28,9885.2,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2025-04-04,9439.7,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2025-04-11,8856.4,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2025-04-17,9123.4,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2025-04-25,9371.1,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2025-05-02,9325.6,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2025-05-09,9471.1,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2025-05-16,9569.0,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2025-05-23,9539.1,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2025-05-30,9649.9,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2025-06-06,9720.1,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2025-06-13,9774.0,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2025-06-20,9811.3,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2025-06-27,9988.3,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2025-07-04,10047.3,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2025-07-11,9768.5,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2025-07-18,9587.0,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2025-07-25,9820.6,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2025-08-01,9671.5,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2025-08-08,9613.4,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2025-08-15,9667.6,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2025-08-22,9615.7,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2025-08-29,9724.5,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2025-09-05,9829.0,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2025-09-12,9882.1,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2025-09-19,9950.1,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2025-09-26,10024.2,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2025-10-03,10357.7,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2025-10-10,10718.4,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2025-10-17,10588.4,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2025-10-24,10679.4,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2025-10-31,10964.4,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2025-11-07,10703.8,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2025-11-14,10840.6,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2025-11-21,10741.3,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2025-11-28,10917.4,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2025-12-05,11427.6,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2025-12-12,11691.9,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2025-12-19,11739.4,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2025-12-24,12087.7,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2026-01-02,12473.2,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2026-01-09,13048.7,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2026-01-16,13232.0,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2026-01-23,12901.9,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
2026-01-30,13276.5,LME/iFinD,LME铜现货结算价，日频聚合为周频均值
