code,date,nav
000216,20260617,3.2551
000917,20260617,1.3172
001170,20260617,5.901
007044,20260617,1.9793
007045,20260617,1.9237
007817,20260617,4.8559
007818,20260617,4.7536
009993,20260617,2.83
013840,20260617,2.9683
013841,20260617,2.9414
014201,20260617,1.6872
014202,20260617,1.665
015453,20260617,1.6295
015454,20260617,1.5898
016370,20260617,3.5252
017488,20260617,4.2506
017489,20260617,4.1633
017612,20260617,5.842
019632,20260617,2.9471
019633,20260617,2.932
019923,20260617,2.121
019924,20260617,2.1007
161119,20260617,1.7864
000216,20260618,3.2441
000917,20260618,1.3173
001170,20260618,6.062
007044,20260618,1.9904
007045,20260618,1.9344
007817,20260618,5.0275
007818,20260618,4.9215
009993,20260618,2.9226
013840,20260618,3.0303
013841,20260618,3.0029
014201,20260618,1.7014
014202,20260618,1.679
015453,20260618,1.6275
015454,20260618,1.5879
016370,20260618,3.6402
017488,20260618,4.3864
017489,20260618,4.2962
017612,20260618,6.001
019632,20260618,2.9918
019633,20260618,2.9764
019923,20260618,2.1386
019924,20260618,2.1181
161119,20260618,1.7869
000216,20260622,3.168
000917,20260622,1.3175
001170,20260622,6.259
007044,20260622,2.0345
007045,20260622,1.9772
007817,20260622,5.1121
007818,20260622,5.0042
009993,20260622,2.9905
013840,20260622,3.0779
013841,20260622,3.05
014201,20260622,1.7336
014202,20260622,1.7107
015453,20260622,1.6669
015454,20260622,1.6263
016370,20260622,3.7212
017488,20260622,4.5078
017489,20260622,4.4148
017612,20260622,6.196
019632,20260622,3.0754
019633,20260622,3.0595
019923,20260622,2.1397
019924,20260622,2.1191
161119,20260622,1.7871
000216,20260623,3.116
000917,20260623,1.3175
001170,20260623,5.996
007044,20260623,1.9837
007045,20260623,1.9278
007817,20260623,4.9665
007818,20260623,4.8616
009993,20260623,2.9276
013840,20260623,3.1005
013841,20260623,3.0724
014201,20260623,1.6997
014202,20260623,1.6772
015453,20260623,1.6389
015454,20260623,1.5989
016370,20260623,3.6162
017488,20260623,4.4028
017489,20260623,4.3119
017612,20260623,5.935
019632,20260623,3.0746
019633,20260623,3.0587
019923,20260623,2.1276
019924,20260623,2.1071
161119,20260623,1.7863
000216,20260624,3.0984
000917,20260624,1.3176
001170,20260624,6.113
007044,20260624,1.9931
007045,20260624,1.9369
007817,20260624,5.0423
007818,20260624,4.9357
009993,20260624,3.0529
013840,20260624,3.353
013841,20260624,3.3226
014201,20260624,1.7213
014202,20260624,1.6985
015453,20260624,1.6619
015454,20260624,1.6214
016370,20260624,3.7087
017488,20260624,4.5109
017489,20260624,4.4177
017612,20260624,6.051
019632,20260624,3.2309
019633,20260624,3.2141
019923,20260624,2.1312
019924,20260624,2.1107
161119,20260624,1.7862
000216,20260625,3.0309
000917,20260625,1.3176
001170,20260625,6.312
007044,20260625,2.0205
007045,20260625,1.9635
007817,20260625,5.1945
007818,20260625,5.0848
009993,20260625,3.1735
013840,20260625,3.4602
013841,20260625,3.4287
014201,20260625,1.7284
014202,20260625,1.7056
015453,20260625,1.674
015454,20260625,1.6331
016370,20260625,3.8424
017488,20260625,4.6886
017489,20260625,4.5916
017612,20260625,6.248
019632,20260625,3.3209
019633,20260625,3.3036
019923,20260625,2.1113
019924,20260625,2.0909
161119,20260625,1.7875
000216,20260626,3.0598
000917,20260626,1.3176
001170,20260626,5.99
007044,20260626,1.9618
007045,20260626,1.9065
007817,20260626,4.8685
007818,20260626,4.7655
009993,20260626,3.0956
013840,20260626,3.571
013841,20260626,3.5386
014201,20260626,1.6812
014202,20260626,1.6589
015453,20260626,1.6269
015454,20260626,1.5871
016370,20260626,3.5971
017488,20260626,4.4158
017489,20260626,4.3244
017612,20260626,5.93
019632,20260626,3.4331
019633,20260626,3.4153
019923,20260626,2.0535
019924,20260626,2.0337
161119,20260626,1.788
000216,20260629,3.0723
000917,20260629,1.3178
001170,20260629,5.795
007044,20260629,1.9811
007045,20260629,1.9252
007817,20260629,4.7592
007818,20260629,4.6585
009993,20260629,3.1442
013840,20260629,3.8559
013841,20260629,3.8208
014201,20260629,1.6827
014202,20260629,1.6604
015453,20260629,1.6415
